stt,question,reference,answer_A,rouge_l_A,answer_B,rouge_l_B,answer_C,rouge_l_C,answer_D,rouge_l_D
11,Phân loại của Nhức đầu như thế nào?,Nhức đầu nguyên phát (không do bệnh lý nền); Nhức đầu thứ phát (do bệnh lý khác gây ra),"Nhức đầu có thể do nhiều nguyên nhân khác nhau, bao gồm:

1. Nguyên nhân tự nhiên: Mất ngủ, căng thẳng, dị ứng.
2. Nguyên nhân bệnh tật: Đột quỵ, viêm",0.2282,"Theo các tài liệu được cung cấp, Nhức đầu có thể phân loại theo nhiều tiêu chí:

1. Theo nguyên nhân:
   a) Bệnh",0.2769,Nhức đầu có thể phân thành đau đầu cấp tính (mild) và,0.383,"Nhức đầu được phân loại thành các nhóm gồm: đau đầu cấp tính (đau đầu đột ngột), đau đầu mãn tính (đau đầu kéo dài) và đau đầu do nguyên nhân đặc biệt",0.2637
12,Những nhóm người nào có nguy cơ cao mắc Tăng huyết áp?,Người lớn tuổi; Nam giới; Phụ nữ sau mãn kinh; Người béo phì; Người có tiền sử gia đình; Người ít vận động,"Người lớn tuổi thường có nguy cơ cao hơn về tăng huyết áp do sức mạnh của quá trình lão hóa và các yếu tố di truyền.

- Người thừa cân hoặc béo phì: K",0.1979,"Người lớn tuổi, nam giới, phụ nữ sau mãn kinh, người béo phì, người có tiền sử gia đình, và người ít vận động.",0.9855,"Người lớn tuổi (>65), người thừa cân hoặc béo phì, hút thuốc lá, ít vận động, uống rượu nhiều, stress thường xuyên và có tiền sử gia đình tăng huyết á",0.4762,"Người lớn tuổi, nam giới, phụ nữ sau mãn kinh, người béo phì, người có tiền sử gia đình và những người ít vận động.",0.9577
13,Làm thế nào để phòng ngừa Rối loạn hỗn hợp lo âu và trầm cảm?,"Học kỹ năng quản lý cảm xúc và đối phó với stress hiệu quả; Duy trì lối sống năng động và mạng lưới hỗ trợ xã hội tích cực; Hạn chế sử dụng rượu bia, ","Để phòng ngừa rối loạn hỗn hợp lo âu và trầm cảm, bạn nên:

1. Tập trung vào việc chăm sóc sức khỏe tâm thần hàng ngày.
2. Tạo môi trường sống lành mạ",0.3423,"Để phòng ngừa Rối loạn hỗn hợp lo âu và trầm cảm, bạn nên thực hiện những biện pháp sau:

1. Học kỹ năng quản lý cảm xúc và đối phó với stress hiệu qu",0.7456,"Phòng ngừa bằng việc duy trì lối sống lành mạnh như tập thể dục đều đặn, ăn uống balanced, ngủ đủ giấc, giảm stress và tìm kiếm sự giúp đỡ từ người kh",0.2667,Phòng ngừa gồm nhiều phương pháp như: học kỹ năng quản lý cảm xúc và đối phó với stress hiệu quả; duy trì lối sống năng động và mạng lưới hỗ trợ xã hộ,0.9509
14,Khi nào cần đi khám bác sĩ nếu bị Tiêu chảy?,"Tiêu chảy kéo dài trên 2–3 ngày; Có dấu hiệu mất nước nặng; Phân có máu; Sốt cao không giảm; Nôn liên tục; Trẻ lừ đừ, bỏ bú","Nếu bạn gặp các triệu chứng tiêu chảy sau khi ăn hoặc liên tục trong một thời gian dài (ít nhất 3 ngày), nên đi khám bác sĩ.",0.3191,"Dựa vào các tài liệu về tiêu chảy được cung cấp, bạn nên đi khám bác sĩ khi:

1. Tiêu chảy kéo dài hơn 2 ngày.
2. Có máu trong phân.
3. Sốt cao trên 3",0.3626,Nếu số lần đi ngoài tăng từ 5-7 lần/ ngày hoặc có máu trong phân; đau bụng dữ dội ở vùng đại tràng; mất nước nặng và khó thở sau khi đi ngoài nhiều lầ,0.297,"Đây là những trường hợp cần đi khám ngay lập tức:

- Tiêu chảy kéo dài hơn 2 ngày và vẫn không đỡ;
- Có máu trong phân;
- Sốt cao trên 38.5°C;
- Đau b",0.4172
15,Rối loạn lo âu là gì?,"Rối loạn lo âu là một nhóm các rối loạn tâm thần đặc trưng bởi cảm giác lo âu và sợ hãi quá mức, kéo dài và không tương xứng với mức độ đe dọa thực tế","Rối loạn lo âu (lo lắng) là một tình trạng tâm lý khi bạn cảm thấy lo lắng, sợ hãi hoặc căng thẳng thường xuyên và kéo dài hơn 6 tháng. Tình trạng này",0.425,"Rối loạn lo âu là một tình trạng lo lắng, sợ hãi quá mức, kéo dài và không tương xứng với thực tế, gây khó chịu và ảnh hưởng đến sinh hoạt hàng ngày c",0.5514,"Rối loạn lo âu là tình trạng rối loạn tâm thần gây ra cảm giác sợ hãi hoặc lo lắng không kiểm soát được, thường xuyên và kéo dài hơn 4 tuần.",0.4134,"Rối loạn lo âu là tình trạng lo lắng, sợ hãi quá mức, kéo dài và không tương xứng với thực tế, gây khó chịu và ảnh hưởng đến sinh hoạt hàng ngày của n",0.5464
16,Những lưu ý quan trọng khi xử trí Viêm phổi là gì?,"Tuân thủ đúng phác đồ kháng sinh để tránh kháng thuốc và tái phát; Dinh dưỡng cần bổ sung Vitamin C, A và Kẽm để tăng đề kháng; Hạn chế đồ ăn cay nóng","- Kiểm tra và theo dõi triệu chứng: sốt cao, khó thở, mệt mỏi.
- Nên uống nhiều nước để tránh mất nước do ho.
- Thực hiện vệ sinh cá nhân sạch sẽ.
- N",0.3014,"Lưu ý quan trọng khi xử trí Viêm phổi:

1. **Hô hấp**: 
   - Nghiên cứu về hô hấp cần được chú trọng, như việc giữ ấm cơ thể, vệ sinh mũi họng bằng nư",0.2428,Điều trị đúng theo chỉ định của bác sĩ; dùng thuốc kháng sinh đầy đủ疗程; tránh xa người bệnh hoặc môi trường nhiễm khuẩn; tăng cường sức đề kháng và vệ,0.3256,"Để phòng ngừa và hỗ trợ điều trị hiệu quả, người bệnh cần tuân thủ theo hướng dẫn của bác sĩ về việc nghỉ ngơi đầy đủ, uống nhiều nước, vệ sinh cá nhâ",0.3265
17,Những lưu ý quan trọng khi xử trí Tăng huyết áp là gì?,Theo dõi huyết áp thường xuyên; Uống thuốc đều đặn theo chỉ định; Không tự ý ngưng thuốc; Ăn nhạt (<5g muối/ngày); Duy trì lối sống lành mạnh; Kiểm tr,"Khi xử trí tăng huyết áp, bạn nên:

1. Kiểm tra và theo dõi huyết áp thường xuyên.
2. Giữ chế độ ăn uống lành mạnh:少吃 chất béo, đường, thực phẩm chứa ",0.2719,"Lưu ý quan trọng khi xử trí tăng huyết áp:

1. Theo dõi huyết áp thường xuyên
2. Uống thuốc đều đặn theo chỉ dẫn của bác sĩ
3. Không tự ý ngưng thuốc
",0.4973,Điều chỉnh chế độ ăn uống và tập thể dục đều đặn; giảm cân nếu thừa cân hoặc béo phì; tuân thủ thuốc theo chỉ định của bác sĩ; kiểm tra BP thường xuyê,0.3459,"Lưu ý sau đây giúp người bệnh tăng huyết áp phòng ngừa biến chứng và duy trì ổn định tốt nhất:

1. Tuân thủ lịch sử uống thuốc theo chỉ định bác sĩ.
2",0.2115
18,Sốt là gì?,Sốt là tình trạng nhiệt độ cơ thể tăng cao hơn mức bình thường do trung tâm điều nhiệt ở vùng dưới đồi thiết lập lại điểm nhiệt độ cao hơn. Đây không ,Sốt là hiện tượng cơ thể tăng nhiệt do phản ứng miễn dịch hoặc nhiễm trùng.,0.3051,"Sốt là tình trạng nhiệt độ cơ thể tăng cao hơn mức bình thường (hoặc thường trên 37,5°C ở nách) do trung tâm điều nhiệt ở vùng dưới đồi thiết lập lại ",0.943,"Sốt là tình trạng nhiệt độ cơ thể tăng lên do phản ứng miễn dịch hoặc nhiễm khuẩn, thường kèm theo triệu chứng như đau đầu, mệt mỏi và sốt cao hơn 38°",0.3836,"Sốt là tình trạng nhiệt độ cơ thể tăng lên so với mức bình thường, thường từ 38-39°C, được kích thích bởi phản ứng bảo vệ của hệ miễn dịch.",0.4965
19,Làm thế nào để chẩn đoán Viêm dạ dày?,"Thăm khám lâm sàng và khai thác tiền sử; Kiểm tra xác định vi khuẩn Hp (K29); Xác định các thể đặc hiệu (qua nội soi, sinh thiết); Phân biệt với u hạt","Việc chẩn đoán viêm dạ dày thường bao gồm các bước sau:

1. Khám tổng quát: Xem xét triệu chứng và lịch sử bệnh.

2. Phỏng vấn: Tìm hiểu về chế độ ăn ",0.2577,"Để chẩn đoán viêm dạ dày, bạn cần xem xét các triệu chứng cụ thể mà bạn đang trải qua. Một số triệu chứng phổ biến bao gồm:

1. Đau thượng vị kéo dài ",0.2083,"Chẩn đoán dựa trên triệu chứng (đau bụng, buồn nôn), kết quả xét nghiệm (tissue biopsy hoặc nội soi) và hướng dẫn điều trị theo chỉ định của bác sĩ.",0.2243,"Viêm dạ dày được chẩn đoán dựa trên các triệu chứng như đau thượng vị kéo dài, nôn ra máu hoặc đi ngoài phân đen, cảm giác nóng rát dạ dày, đói dữ dội",0.197
20,Triệu chứng của Mất ngủ gồm những gì?,Khó đi vào giấc ngủ; Thức giấc nhiều lần trong đêm; Thức dậy quá sớm; Không cảm thấy nghỉ ngơi sau khi ngủ; Mệt mỏi ban ngày; Buồn ngủ và giảm tập tru,"Mất ngủ có thể bao gồm các triệu chứng như: khó入睡, thức dậy sớm hơn so với bình thường, cảm giác mệt mỏi sau khi đi ngủ, giấc ngủ ngắn hoặc mơ nhiều t",0.3659,"Triệu chứng của Mất ngủ bao gồm:

1. Khó đi vào giấc ngủ
2. Thức giấc nhiều lần trong đêm 
3. Thức dậy quá sớm
4. Không cảm thấy nghỉ ngơi sau khi ngủ",0.8867,"Khó đi vào giấc, khó ngon giấc, thức dậy nhiều lần trong đêm hoặc ngủ ít hơn 7-8 giờ mỗi ngày.",0.3548,"Khó đi vào giấc ngủ, thức giấc nhiều lần trong đêm, thức dậy quá sớm, không cảm thấy nghỉ ngơi sau khi ngủ, buồn ngủ ban ngày, giảm tập trung và trí n",0.9101
21,Làm thế nào để phòng ngừa Tiêu chảy?,Rửa tay thường xuyên; Ăn chín uống sôi; Sử dụng nước sạch; Tiêm vaccine rotavirus (trẻ em); Tránh thực phẩm không đảm bảo vệ sinh; Vệ sinh môi trường ,"Để phòng ngừa tiêu chảy, bạn nên:

1. Ăn uống đầy đủ chất dinh dưỡng và nước.
2. Hạn chế ăn thức ăn nhanh, đồ chiên xào nhiều dầu mỡ.
3. Kiêng sử dụng",0.2513,"Phòng ngừa tiêu chảy:

1. Ăn chín uống sôi.
2. Rửa tay thường xuyên bằng xà phòng.
3. Tiêm vaccine rotavirus cho trẻ em.
4. Tránh tiếp xúc với người b",0.2297,"Phòng ngừa bằng vệ sinh cá nhân sạch sẽ, ăn uống đầy đủ chất dinh dưỡng và tránh tiếp xúc với người bệnh hoặc phân có vi khuẩn.",0.3261,"Phòng ngừa gồm việc ăn chín uống sôi, rửa tay thường xuyên bằng xà phòng, tiêm vaccine rotavirus cho trẻ em, tránh tiếp xúc với người bị bệnh, sử dụng",0.4404
22,Cách chăm sóc và điều trị ban đầu cho Đái tháo đường là gì?,"Chế độ ăn cân bằng: Tăng xơ, giảm đường đơn và tinh bột nhanh; Duy trì hoạt động thể lực ít nhất 150 phút/tuần; Giảm cân và kiểm soát chỉ số BMI ở mức","Để chăm sóc và điều trị ban đầu cho người bị đái tháo đường:

1. Kiểm tra huyết sugar định kỳ.
2. Thay đổi lối sống: giảm cân nếu cần thiết, ăn nhiều ",0.2907,"+ Lifestyle: Chế độ ăn kiểm soát carbohydrate, ưu tiên thực phẩm có chỉ số GI thấp, Tăng cường chất xơ từ rau xanh và ngũ cốc nguyên hạt, Tập thể dục ",0.3478,"Điều chỉnh lối sống (thuốc giảm đường, ăn uống lành mạnh, tập thể dục), kiểm tra huyết sugar định kỳ, tuân thủ thuốc theo chỉ dẫn của bác sĩ.",0.2901,"Đây là những phương pháp cơ bản mà người bệnh cần thực hiện ngay khi phát hiện tình trạng này:

1. Lập lịch theo dõi đường huyết thường xuyên tại nhà.",0.3128
23,Đặc điểm dịch tễ của Viêm họng là gì?,"Bệnh phổ biến ở mọi lứa tuổi, thường gặp nhất vào mùa lạnh; Dễ lây lan qua tiếp xúc đồ vật cá nhân hoặc ăn uống chung; Tỉ lệ mắc bệnh cao trong thời đ","Dịch tợ viêm họng thường bao gồm các triệu chứng như:

1. Đau nhức ở cổ và vai.
2. Thở hen (thoát khí).
3. Nôn mửa hoặc buồn nôn.
4. Mệt mỏi.
5. Đau đ",0.2917,"Dịch tợ của Viêm họng bao gồm:

1. Triệu chứng cơ bản: đau rát cổ họng, khó nuốt, ngứa cổ họng, ho (dễ dàng phát triển thành sputum).

2. Triệu chứng ",0.2,"Viêm họng có triệu chứng đau rát khi喝水 hoặc nuốt, ho và sốt nhẹ.",0.2,"Viêm họng là một loại viêm nhiễm trùng phổ biến, chủ yếu do vi khuẩn (như Streptococcus) hoặc virus (như Herpesvirus).",0.2
24,Triệu chứng của Viêm dạ dày tá tràng gồm những gì?,"Đau vùng thượng vị (trên rốn hoặc dưới xương ức); Nóng rát lồng ngực dọc theo xương ức; Ợ hơi, ợ chua; Buồn nôn, nôn khan hoặc nôn ra thức ăn lẫn dịch","Viêm dạ dày tá tràng có thể gây ra các triệu chứng như:

1. Đau ở vùng bụng dưới hoặc giữa (trong và ngoài)
2. Nôn mửa
3. Thói quen ăn uống nhanh chón",0.3099,"Để giúp bạn hiểu rõ hơn về triệu chứng của viêm dạ dày tá tràng, tôi sẽ tổng hợp các thông tin từ các nguồn:

1. **Dạ Dày**: 
   - Đau vùng thượng vị ",0.5053,"Đau bụng ở vị trí sau hoặc bên phải thường kéo dài và tăng khi ăn; có thể kèm buồn rít, khó tiêu, đầy hơi, xót rát vùng bụng dưới và sốt nhẹ.",0.3067,"Đau vùng thượng vị (trên rốn hoặc dưới xương ức), cảm giác nóng rát dạ dày, đói tức, buồn nôn, nôn ra máu, đi ngoài phân đen hoặc có máu, chán ăn, khó",0.6125
25,Làm thế nào để phòng ngừa Mất ngủ?,"Duy trì giờ ngủ và thức cố định; Tăng hoạt động thể chất; Hạn chế caffeine, rượu và nicotine; Tránh ngủ trưa quá dài; Không ăn quá no hoặc uống nhiều ","Để phòng ngừa mất ngủ, bạn có thể thử các biện pháp sau:

1. Đặt lịch作息 đều đặn: Mỗi ngày hãy cố gắng đi ngủ và thức dậy vào thời gian giống nhau.

2.",0.2169,"Để phòng ngừa mất ngủ, bạn nên thực hiện các biện pháp sau:

1. **Duy trì giờ ngủ và thức dậy**: Hãy duy trì lịch作息 đều đặn vào ban ngày và đêm.

2. *",0.2492,"Phòng ngừa bằng việc duy trì thói quen sinh hoạt lành mạnh như đi ngủ và dậy đúng giờ, giảm stress, hạn chế caffeine và酒精 vào buổi tối, tập thể dục đề",0.2903,"Phòng ngừa mất ngủ gồm việc duy trì giờ ngủ và thức dậy đều đặn, tăng cường vận động thể chất, hạn chế các chất kích thích như caffeine, rượu và nicot",0.5205
26,Biến chứng của Sốt ở người lớn là gì?,"Mất nước và rối loạn điện giải nặng; Co giật do sốt (ít gặp ở người lớn hơn trẻ em nhưng vẫn có thể xảy ra); Mê sảng, ảo giác và rối loạn ý thức; Suy ","Sốt ở người lớn có thể gây ra một số biến chứng như: tăng huyết áp, suy hô hấp (nếu nhiễm trùng), tổn thương não do nhiệt độ cao, và các vấn đề về tim",0.3506,"Triệu chứng của Sốt ở người lớn bao gồm:

- Thân nhiệt tăng cao kèm theo đổ mồ hôi
- Ớn lạnh và run rẩy
- Đau đầu dữ dội hoặc âm ỉ
- Đau mỏi cơ và các",0.3067,Sốt kéo dài > 7 ngày có thể dẫn đến suy thận cấp tính hoặc viêm phổi mạn tính nếu không điều trị kịp thời.,0.2623,"Sốt ở người lớn có thể dẫn đến biến chứng nghiêm trọng như tổn thương thần kinh ngoại biên do đột ngột hạ nhiệt độ, tăng nguy cơ tử vong nếu không đượ",0.2821
27,Triệu chứng của Mất ngủ gồm những gì?,"Khó đi vào giấc ngủ; Thức giấc nhiều lần trong đêm; Thức dậy quá sớm; Không cảm thấy nghỉ ngơi sau khi ngủ; Mệt mỏi ban ngày; Buồn ngủ, giảm tập trung","Mất ngủ có thể bao gồm các triệu chứng như: khó入睡, thức dậy sớm hơn so với bình thường, cảm giác mệt mỏi sau khi đi ngủ, giấc ngủ ngắn hoặc mơ nhiều t",0.3975,"Triệu chứng của Mất ngủ bao gồm:

1. Khó đi vào giấc ngủ
2. Thức giấc nhiều lần trong đêm 
3. Thức dậy quá sớm
4. Không cảm thấy nghỉ ngơi sau khi ngủ",0.85,"Khó đi vào giấc, khó ngon giấc, thức dậy nhiều lần trong đêm hoặc ngủ ít hơn 7-8 giờ mỗi ngày.",0.3636,"Khó đi vào giấc ngủ, thức giấc nhiều lần trong đêm, thức dậy quá sớm, không cảm thấy nghỉ ngơi sau khi ngủ, buồn ngủ ban ngày, giảm tập trung và trí n",0.8686
28,Gout (gút) là gì?,"Gout là bệnh viêm khớp do tăng acid uric trong máu, dẫn đến lắng đọng tinh thể urat tại khớp gây đau, sưng và viêm.",Gout là một bệnh lý về khớp do sự tích tụ quá nhiều urat trong máu gây ra. Urate là chất có thể kết hợp với protein tạo thành dạng hạt nhỏ gọi là urat,0.3188,Gout (gút) là một loại viêm khớp cấp tính do quá trình chuyển hóa của acid uric trong máu bị thay đổi. Acid uric là chất béo tự nhiên được sản xuất bở,0.2829,Đau khớp do tăng acid uric trong máu làm chất lỏng tiểu hóa xương và gây tổn thương mô mềm.,0.4857,"Gout là tình trạng viêm khớp cấp tính do tăng acid uric trong máu, dẫn đến hình thành tinh thể urat lắng đọng tại khớp và mô xung quanh, gây đau, sưng",0.6408
29,Biến chứng của Suy tim là gì?,Phù phổi cấp; Rối loạn nhịp tim nguy hiểm; Đột tử do tim; Đột quỵ do huyết khối; Suy đa cơ quan; Giảm chất lượng sống; Tăng nguy cơ tử vong,"Suy tim có thể dẫn đến nhiều biến chứng như: suy giảm chức năng thận và gan do thiếu máu, tăng nguy cơ đột quỵ, rối loạn nhịp tim, nhồi máu não nếu xả",0.2114,"Biến chứng của Suy tim là việc tim không đủ khả năng bơm máu để đáp ứng nhu cầu hoạt động của cơ thể, dẫn đến thiếu oxy và dưỡng chất cho các cơ quan,",0.1982,"Suy tim có thể dẫn đến suy thận, đái tháo đường tự phát hoặc tăng huyết áp do giảm chức năng lọc máu và đào tạo mạch máu.",0.2989,"Suy tim có thể dẫn đến biến chứng như đột quỵ, viêm phổi, nhiễm trùng huyết, tăng áp lực tĩnh mạch (như varicocele) và thậm chí nguy hiểm đến tính mạn",0.2718
